%2016-05-24-10:18:44 in-2004 6400 edges will be inserted into DANF in bulks of 640. The time measured is the time to insert 640 edges.; h is set to 3 and log2m is 4;
%BulkSize DanfEPS DanfGraphMemory DanfCounterMemory DanfVcMemory DanfMsbfsMemory TrivialEPS TrivialMemory ElapsedTime nrArcs nrNodes
640 1006.28937 0.0073569864 0.04433039 0.010475526 0.033382393 1003.1348 0.020235866 1276 640 1382908
1280 1575.0615 0.007817477 0.04433039 0.010475526 0.06986027 1308.7935 0.020694137 2935 1920 1382908
1920 2340.0366 0.008507751 0.04433039 0.010475526 0.122750565 1275.3239 0.021381408 5528 3840 1382908
2560 3173.0293 0.009427272 0.04433039 0.010475526 0.16638844 1366.0619 0.022297531 8022 6400 1382908
3200 3204.2722 0.01057969 0.04433039 0.010475526 0.21994016 1242.8794 0.023445562 12584 9600 1382908
3840 3748.954 0.011955738 0.04433039 0.010475526 0.26356637 1280.0 0.024817899 16590 13440 1382908
4480 4142.395 0.013561405 0.04433039 0.010475526 0.33528566 1267.237 0.02641961 21704 17920 1382908
5120 4451.314 0.0153958425 0.04433039 0.010475526 0.42475682 1276.1714 0.028252676 27420 23040 1382908
5760 4849.3013 0.01745189 0.04433039 0.010475526 0.49307498 1240.5773 0.030309007 34439 28800 1382908
6400 5246.6836 0.019730449 0.04433039 0.010475526 0.6037708 1198.5018 0.032587044 42501 35200 1382908
